"municipio","COUNT(municipio)","mes","ano","AVG(tempo_atracado)","AVG(tempo_estadia)"
São Gonçalo do Amarante,1,"214,78333333321","2019",12.0,75.0
São Gonçalo do Amarante,1,"22,749999999942","2019",0.0,13.0
São Gonçalo do Amarante,1,"22,86666666664","2019",1.0,20.0
São Gonçalo do Amarante,1,"23,000000000058","2019",1.0,20.0
São Gonçalo do Amarante,1,"24,033333333267","2019",1.0,22.0
São Gonçalo do Amarante,1,"25,599999999977","2019",0.0,17.0
São Gonçalo do Amarante,1,"26,566666666651","2019",4.0,15.0
São Gonçalo do Amarante,1,"268,11666666664","2019",2.0,145.0
São Gonçalo do Amarante,1,"27,783333333267","2019",0.0,24.0
São Gonçalo do Amarante,1,"272,10000000003","2019",2.0,136.0
São Gonçalo do Amarante,1,"280,13333333336","2019",3.0,85.0
São Gonçalo do Amarante,1,"285,40000000008","2019",2.0,226.0
São Gonçalo do Amarante,1,"288,23333333322","2019",2.0,169.0
São Gonçalo do Amarante,1,"29,783333333326","2019",1.0,22.0
São Gonçalo do Amarante,1,"30,233333333395","2019",0.0,15.0
São Gonçalo do Amarante,1,"301,23333333334","2019",0.0,117.0
São Gonçalo do Amarante,1,"31,299999999872","2019",0.0,22.0
São Gonçalo do Amarante,1,"31,516666666721","2019",14.0,29.0
São Gonçalo do Amarante,1,"31,88333333336","2019",0.0,17.0
São Gonçalo do Amarante,1,"324,04999999999","2019",1.0,197.0
São Gonçalo do Amarante,1,"33,149999999965","2019",3.0,29.0
São Gonçalo do Amarante,1,"33,36666666664","2019",1.0,18.0
São Gonçalo do Amarante,1,"335,65000000008","2019",3.0,268.0
São Gonçalo do Amarante,1,"346,96666666679","2019",2.0,311.0
São Gonçalo do Amarante,1,"354,73333333328","2019",9.0,113.0
São Gonçalo do Amarante,1,"360,86666666652","2019",4.0,191.0
São Gonçalo do Amarante,1,"366,21666666667","2019",2.0,156.0
São Gonçalo do Amarante,1,"368,39999999997","2019",1.0,224.0
São Gonçalo do Amarante,1,"37,5","2019",5.0,35.0
São Gonçalo do Amarante,1,"38,116666666581","2019",2.0,25.0
São Gonçalo do Amarante,1,"382,64999999997","2019",0.0,112.0
São Gonçalo do Amarante,1,"40,133333333361","2019",0.0,32.0
São Gonçalo do Amarante,1,"41,716666666791","2019",0.0,8.0
São Gonçalo do Amarante,1,"425,38333333342","2019",1.0,249.0
São Gonçalo do Amarante,1,"45,266666666663","2019",0.0,6.0
São Gonçalo do Amarante,1,"45,866666666698","2019",0.0,6.0
São Gonçalo do Amarante,1,"46,216666666616","2019",0.0,10.0
São Gonçalo do Amarante,1,"47,016666666779","2019",0.0,30.0
São Gonçalo do Amarante,1,"49,850000000093","2019",10.0,45.0
São Gonçalo do Amarante,1,"51,583333333314","2019",13.0,48.0
São Gonçalo do Amarante,1,"51,666666666744","2019",1.0,14.0
São Gonçalo do Amarante,1,"53,033333333326","2019",10.0,50.0
São Gonçalo do Amarante,1,"55,033333333209","2019",0.0,6.0
São Gonçalo do Amarante,1,"6,7000000000116","2019",0.0,4.0
São Gonçalo do Amarante,1,"6,8999999999651","2019",0.0,4.0
São Gonçalo do Amarante,1,"60,600000000035","2019",0.0,4.0
São Gonçalo do Amarante,1,"667,2666666666","2019",3.0,153.0
São Gonçalo do Amarante,1,"68,299999999988","2019",0.0,7.0
São Gonçalo do Amarante,1,"7,2333333333372","2019",1.0,4.0
São Gonçalo do Amarante,1,"7,6166666666977","2019",0.0,5.0
São Gonçalo do Amarante,1,"7,9999999998836","2019",1.0,6.0
São Gonçalo do Amarante,1,"78,683333333291","2019",0.0,12.0
São Gonçalo do Amarante,1,"8,0833333333139","2019",0.0,6.0
São Gonçalo do Amarante,1,"8,8166666665929","2019",1.0,6.0
São Gonçalo do Amarante,1,"80,000000000058","2019",0.0,73.0
São Gonçalo do Amarante,1,"80,25","2019",3.0,77.0
São Gonçalo do Amarante,1,"82,616666666698","2019",1.0,7.0
São Gonçalo do Amarante,1,"885,26666666666","2019",7.0,0.0
São Gonçalo do Amarante,1,"9,5833333333139","2019",0.0,6.0
São Gonçalo do Amarante,1,"9,6333333333023","2019",0.0,7.0
São Gonçalo do Amarante,1,"9,6666666667443","2019",0.0,7.0
São Gonçalo do Amarante,1,"91,699999999953","2019",3.0,11.0
São Gonçalo do Amarante,1,"96,700000000012","2019",7.0,88.0
